year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96140,-19.16000,,,
1992.98650,-19.58000,,,
1993.01230,-15.24000,,,
1993.04070,-19.05000,,,
1993.06600,-23.57000,,,
1993.09740,-26.86000,,,
1993.12060,-24.74000,,,
1993.14930,-18.62000,,,
1993.17650,-15.55000,,,
1993.20370,-15.96000,,,
1993.23070,-19.38000,,,
1993.28510,-22.37000,,,
1993.31230,-15.89000,,,
1993.33940,-15.33000,,,
1993.36650,-12.23000,,,
1993.39370,-16.75000,,,
1993.42080,-21.14000,,,
1993.44800,-18.00000,,,
1993.47510,-13.28000,,,
1993.50210,-10.33000,,,
1993.52940,-11.61000,,,
1993.58370,-20.67000,,,
1993.61170,-18.03000,,,
1993.63810,-14.24000,,,
1993.66520,-10.84000,,,
1993.69230,-13.16000,,,
1993.71890,-19.68000,,,
1993.74660,-20.28000,,,
1993.77380,-15.58000,,,
1993.80090,-16.27000,,,
1993.85530,-12.86000,,,
1993.88240,-18.64000,,,
1993.90980,-19.12000,,,
1993.93670,-16.63000,,,
1993.96390,-8.93000,,,
1993.99070,-6.97000,,,
1994.01810,-15.58000,,,
1994.04520,-15.48000,,,
1994.07230,-16.98000,,,
1994.09950,-18.61000,,,
1994.12670,-17.06000,,,
1994.15390,-10.78000,,,
1994.18090,-10.14000,,,
1994.23530,-15.07000,,,
1994.26240,-12.74000,,,
1994.28960,-10.43000,,,
1994.31680,-7.63000,,,
1994.34390,-11.07000,,,
1994.37100,-15.57000,,,
1994.39820,-18.29000,,,
1994.42530,-15.11000,,,
1994.45240,-8.59000,,,
1994.50670,-15.22000,,,
1994.53390,-14.25000,,,
1994.56100,-17.28000,,,
1994.58820,-13.71000,,,
1994.61540,-11.35000,,,
1994.64250,-8.61000,,,
1994.66970,-11.51000,,,
1994.69680,-14.12000,,,
1994.72390,-16.92000,,,
1994.75100,-15.83000,,,
1994.77820,-14.17000,,,
1994.80540,-7.99000,,,
1994.83250,-9.57000,,,
1994.88680,-17.18000,,,
1994.91400,-17.33000,,,
1994.94120,-7.40000,,,
1994.96840,-6.40000,,,
1994.99550,-9.54000,,,
1995.02260,-12.38000,,,
1995.04970,-14.91000,,,
1995.07690,-6.65000,,,
1995.10400,-7.32000,,,
1995.13120,-8.70000,,,
1995.15830,-9.15000,,,
1995.21270,-7.94000,,,
1995.23980,-13.25000,,,
1995.26690,-7.61000,,,
1995.29410,-5.29000,,,
1995.32120,-8.98000,,,
1995.37550,-13.00000,,,
1995.40280,-9.53000,,,
1995.42980,-3.77000,,,
1995.45690,-6.79000,,,
1995.48410,-12.26000,,,
1995.53840,-16.40000,,,
1995.56550,-12.38000,,,
1995.59270,-9.85000,,,
1995.61990,-7.12000,,,
1995.64700,-12.40000,,,
1995.67400,-13.88000,,,
1995.70130,-11.17000,,,
1995.72850,-4.13000,,,
1995.75560,-7.18000,,,
1995.78270,-8.85000,,,
1995.83710,-13.21000,,,
1995.86430,-12.33000,,,
1995.88990,-8.06000,,,
1995.94560,-5.18000,,,
1995.97280,-5.78000,,,
1995.99980,-11.33000,,,
1996.02700,-13.10000,,,
1996.05330,-10.58000,,,
1996.08140,-5.43000,,,
1996.10840,-1.64000,,,
1996.16310,-8.12000,,,
1996.18990,-11.20000,,,
1996.21710,-7.82000,,,
1996.24420,-3.43000,,,
1996.27140,-6.48000,,,
1996.29850,-10.74000,,,
1996.32570,-10.72000,,,
1996.35290,-7.93000,,,
1996.38000,-4.93000,,,
1996.40710,-2.58000,,,
1996.43420,-5.15000,,,
1996.48860,-10.52000,,,
1996.51570,-8.33000,,,
1996.54290,-3.76000,,,
1996.57000,0.21000,,,
1996.59720,-3.40000,,,
1996.62440,-9.99000,,,
1996.65150,-11.68000,,,
1996.67860,-13.56000,,,
1996.70530,-7.68000,,,
1996.73350,-1.55000,,,
1996.76000,-1.02000,,,
1996.81440,4.80000,,,
1996.84150,4.95000,,,
1996.86870,1.80000,,,
1996.89590,-4.42000,,,
1996.92300,-6.80000,,,
1996.95010,-9.55000,,,
1996.97700,-15.46000,,,
1997.00440,-11.31000,,,
1997.03160,-5.21000,,,
1997.05870,-5.40000,,,
1997.08580,-5.92000,,,
1997.14020,-9.70000,,,
1997.16730,-7.50000,,,
1997.19440,-5.79000,,,
1997.22160,-3.61000,,,
1997.24870,-5.31000,,,
1997.27590,-9.25000,,,
1997.30300,-11.69000,,,
1997.33020,-7.36000,,,
1997.35730,-1.67000,,,
1997.38440,-3.67000,,,
1997.41160,-3.23000,,,
1997.46590,-9.72000,,,
1997.49280,-4.48000,,,
1997.52020,-1.44000,,,
1997.54740,3.97000,,,
1997.57450,-1.71000,,,
1997.62880,-4.96000,,,
1997.65600,-2.46000,,,
1997.68300,0.68000,,,
1997.71030,3.75000,,,
1997.73740,-0.12000,,,
1997.79170,-3.68000,,,
1997.81890,-1.48000,,,
1997.84600,3.04000,,,
1997.87310,-2.26000,,,
1997.90010,-6.74000,,,
1997.92740,-9.29000,,,
1997.95460,-11.41000,,,
1997.98170,-5.02000,,,
1998.00830,-2.43000,,,
1998.03600,-0.53000,,,
1998.09030,-6.11000,,,
1998.11740,-5.89000,,,
1998.14460,-3.16000,,,
1998.17170,-0.88000,,,
1998.19890,-0.48000,,,
1998.22610,-3.70000,,,
1998.25320,-7.49000,,,
1998.27920,-5.62000,,,
1998.30750,-0.74000,,,
1998.33470,0.70000,,,
1998.36170,-2.40000,,,
1998.41580,-10.69000,,,
1998.44320,-8.31000,,,
1998.47040,-4.64000,,,
1998.49760,1.75000,,,
1998.52470,0.03000,,,
1998.55180,-5.70000,,,
1998.60620,-6.21000,,,
1998.63330,-5.04000,,,
1998.66040,-2.34000,,,
1998.68760,-3.49000,,,
1998.71470,-10.47000,,,
1998.74190,-11.20000,,,
1998.76890,-9.96000,,,
1998.82340,-1.36000,,,
1998.85050,-4.97000,,,
1998.87750,-10.81000,,,
1998.90460,-15.85000,,,
1998.93190,-8.37000,,,
1998.95910,-6.28000,,,
1998.98620,-1.50000,,,
1999.01330,-4.50000,,,
1999.04050,-6.05000,,,
1999.09480,-8.71000,,,
1999.12560,6.73000,,,
1999.14910,1.98000,,,
1999.17630,-2.96000,,,
1999.20340,-8.26000,,,
1999.23060,-6.78000,,,
1999.25770,-4.17000,,,
1999.28480,-1.47000,,,
1999.33920,-3.73000,,,
1999.36630,-8.83000,,,
1999.39330,-10.95000,,,
1999.42060,-4.84000,,,
1999.44780,-5.80000,,,
1999.47490,-1.57000,,,
1999.50200,0.77000,,,
1999.52920,-4.60000,,,
1999.55660,-6.90000,,,
1999.58340,-1.95000,,,
1999.61060,-2.36000,,,
1999.63770,1.09000,,,
1999.69200,-7.05000,,,
1999.71920,-4.20000,,,
1999.74620,-3.86000,,,
1999.77350,3.83000,,,
1999.80080,2.84000,,,
1999.82780,-2.42000,,,
1999.85500,-8.57000,,,
1999.88220,-8.15000,,,
1999.90920,-4.05000,,,
1999.96360,4.85000,,,
1999.99070,4.33000,,,
2000.01780,-3.19000,,,
2000.04500,-2.18000,,,
2000.07210,5.31000,,,
2000.09930,3.28000,,,
2000.12640,1.44000,,,
2000.15360,-1.29000,,,
2000.18070,-5.84000,,,
2000.20780,-6.05000,,,
2000.23500,2.43000,,,
2000.28940,1.37000,,,
2000.31650,-4.24000,,,
2000.34360,-8.27000,,,
2000.37070,-7.27000,,,
2000.39780,-2.99000,,,
2000.42500,1.79000,,,
2000.45220,0.81000,,,
2000.47940,-2.41000,,,
2000.50650,-4.42000,,,
2000.53370,-1.64000,,,
2000.58790,0.21000,,,
2000.61490,0.78000,,,
2000.64230,-2.20000,,,
2000.66940,-9.29000,,,
2000.69650,-6.30000,,,
2000.72350,2.10000,,,
2000.75090,6.17000,,,
2000.77800,4.53000,,,
2000.80510,-3.09000,,,
2000.85950,-2.56000,,,
2000.88600,1.19000,,,
2000.91450,4.09000,,,
2000.94090,2.78000,,,
2000.96810,0.18000,,,
2000.99520,1.25000,,,
2001.02220,2.50000,,,
2001.07660,5.94000,,,
2001.10380,3.07000,,,
2001.13090,-3.41000,,,
